RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B3-107004,2013/11/16 00:00:00+00,1221,"NEBR HWY,S 27 to PIONEERS",INJURY,REAR END,2,1,NO,NO,YES,NO,NO,NO,NO,1
B3-110825,2013/11/29 00:00:00+00,1608,"CALVERT,S 47 to S 48",INJURY,DRIVEWAY,2,1,NO,NO,YES,NO,NO,YES,NO,2
B3-116935,2013/12/20 00:00:00+00,1510,N 62 at HAVELOCK,NON-INJ,REAR END,2,0,NO,NO,YES,NO,NO,YES,NO,3
B3-118728,2013/12/27 00:00:00+00,1752,"HOLDREGE,N 70 to N 71",INJURY,REAR END,2,1,NO,NO,YES,NO,NO,NO,NO,4
B3-001081,2013/01/03 00:00:00+00,1305,"O,46 to 48",NON-INJ,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,5
B3-001157,2013/01/21 00:00:00+00,415,VAN DORN at PARK BLVD,INJURY,SIDE SWIPE,1,1,NO,YES,NO,NO,NO,NO,NO,6
B3-002702,2013/01/29 00:00:00+00,1245,RANDOLPH at CAPITOL PKWY,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,7
B3-003380,2013/02/13 00:00:00+00,1500,N 13 at P,INJURY,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,8
B3-003712,2013/02/14 00:00:00+00,1703,S 56 at VAN DORN,INJURY,RIGHT ANGLE,2,1,NO,YES,NO,NO,NO,NO,NO,9
B3-003828,2013/02/17 00:00:00+00,1445,"N 27,PEAR to W",INJURY,OTHER,1,1,NO,YES,NO,NO,NO,NO,NO,10
B3-111866,2013/10/10 00:00:00+00,1517,"K,S 21 to S 22",INJURY,OTHER,2,1,NO,YES,YES,NO,NO,NO,NO,11
B3-098501,2013/09/02 00:00:00+00,1647,"N 11,P to Q",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,12
B3-004648,2013/02/18 00:00:00+00,1518,"NORTHVIEW DR,N 31 to CROSSING DR",INJURY,,1,1,NO,YES,NO,NO,NO,NO,NO,13
B3-070867,2013/08/02 00:00:00+00,840,S 48 at SOUTH,NON-INJ,TURNING,2,0,NO,NO,YES,NO,NO,NO,NO,14
B3-001555,2013/10/01 00:00:00+00,1857,"GARLAND,N 89 to N 91",INJURY,OTHER,1,2,YES,NO,YES,NO,NO,NO,NO,15
B3-004650,2013/02/28 00:00:00+00,903,N 22 at R,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,16
B3-099198,2013/09/02 00:00:00+00,1757,"NORMAL,S 70 to VAN DORN",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,17
B3-071974,2013/08/05 00:00:00+00,1755,11 at O,INJURY,TURNING,2,1,NO,NO,YES,NO,NO,NO,NO,18
B3-099327,2013/09/03 00:00:00+00,745,"O,17 to 18",INJURY,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,19
B3-004804,2013/03/08 00:00:00+00,1550,OLD CHENEY at NEBR HWY,INJURY,TURNING,1,1,NO,YES,NO,NO,NO,YES,NO,20
B3-006565,2013/01/16 00:00:00+00,1254,N 14 at SUPERIOR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,YES,NO,NO,YES,NO,21
B3-072936,2013/08/07 00:00:00+00,1400,"N 84,FREMONT to HAVELOCK",INJURY,SIDE SWIPE,2,1,NO,NO,YES,NO,NO,NO,NO,22
B3-005697,2013/03/14 00:00:00+00,1405,"FRANCIS,N 70 to N 71",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,23
B3-100421,2013/09/04 00:00:00+00,2030,CAPITOL PKWY at RANDOLPH,INJURY H&R,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,24
B3-013421,2013/02/06 00:00:00+00,1847,"NEBR HWY,S 27 to SOUTHWOOD DR",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,25
B3-073009,2013/08/07 00:00:00+00,1833,S COTNER at A,INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,26
B3-007103,2013/03/18 00:00:00+00,1535,S 33 at SHERIDAN,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,27
B3-022731,2013/03/13 00:00:00+00,1553,"S 13,A to WASHINGTON",NON-INJ,DRIVEWAY,2,0,NO,NO,YES,NO,NO,YES,NO,28
B3-073031,2013/08/07 00:00:00+00,2053,"PINE LAKE,S 38 to S 40",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,29
B3-100749,2013/09/05 00:00:00+00,740,"W FLETCHER,NW 7 to NW 12",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,30
B3-023300,2013/03/17 00:00:00+00,2111,5900 O at -,INJURY,,1,1,NO,NO,YES,NO,NO,NO,NO,31
B3-007165,2013/03/20 00:00:00+00,900,N 12 at Q,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,32
B3-100825,2013/09/05 00:00:00+00,1648,"N 66,MARCIA to Q",INJURY,OTHER,2,1,NO,YES,NO,NO,NO,NO,NO,33
B3-073327,2013/08/08 00:00:00+00,1650,N 48 at BENTON,INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,34
B3-024054,2013/03/19 00:00:00+00,1845,"S 10,L to M",NON-INJ,SIDE SWIPE,2,0,NO,NO,YES,NO,NO,NO,NO,35
B3-007225,2013/03/21 00:00:00+00,825,"S 27,NEBR HWY to PICCADILLY",INJURY,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,36
B3-101283,2013/09/06 00:00:00+00,1808,N 33 at HOLDREGE,INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,37
B3-074183,2013/08/14 00:00:00+00,2000,"S 70,MONTEREY to SUMNER",NON-INJ,OTHER,1,0,NO,NO,YES,NO,NO,NO,NO,38
B3-027966,2013/03/31 00:00:00+00,1220,"DUDLEY,N 68 to N 69",INJURY,RAN OFF ROAD,1,1,NO,NO,YES,NO,NO,NO,NO,39
B3-007894,2013/04/03 00:00:00+00,1648,S 31 at OLD CHENEY,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,40
B3-101772,2013/09/06 00:00:00+00,2000,"S 16,B to C",NON-INJ H&R,REAR END,1,0,NO,YES,NO,NO,NO,NO,NO,41
B3-075213,2013/08/15 00:00:00+00,1500,"BROWNING,CHAUCER to CROOKED CREEK",NON-INJ,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,42
B3-007900,2013/04/09 00:00:00+00,1815,N 14 at Q,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,43
B3-029599,2013/04/04 00:00:00+00,1912,WESTGATE at OAKCREEK,INJURY,TURNING,2,1,NO,NO,YES,NO,NO,NO,NO,44
B3-076128,2013/08/17 00:00:00+00,1,"CORNHUSKER,N 48 to SUPERIOR",INJURY H&R,REAR END,3,1,NO,NO,YES,NO,NO,YES,NO,45
B3-101851,2013/09/07 00:00:00+00,37,"NW 48,W HOLDREGE to W GARY GATELY",INJURY,SIDE SWIPE,1,1,NO,YES,NO,NO,NO,YES,NO,46
B3-030079,2013/04/06 00:00:00+00,1700,"U,N 30 to N 31",INJURY,TURNING,1,1,NO,NO,YES,NO,NO,NO,NO,47
B3-010368,2013/04/11 00:00:00+00,1715,I 180 at SUPERIOR,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,48
B3-102349,2013/09/10 00:00:00+00,1514,N 35 at VINE,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,49
B3-076386,2013/08/17 00:00:00+00,1653,"CORNHUSKER,FLETCHER to N COTNER",INJURY,RAN OFF ROAD,1,2,NO,NO,YES,NO,NO,NO,NO,50
B3-010419,2013/04/16 00:00:00+00,927,"R,N 8 to N 9",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,YES,NO,51
B3-032379,2013/04/12 00:00:00+00,1933,"N 14,P to Q",NON-INJ,REAR END,2,0,NO,NO,YES,NO,NO,NO,NO,52
B3-102910,2013/09/10 00:00:00+00,1628,"DUDLEY,N 27 to N 29",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,53
B3-076842,2013/08/18 00:00:00+00,1727,W ROUNDHOUSE at W O,INJURY,RIGHT ANGLE,2,1,NO,NO,YES,NO,NO,YES,NO,54
B3-000235,2013/01/14 00:00:00+00,9999,"S 8,F to G",INJURY H&R,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,55
B3-036505,2013/04/26 00:00:00+00,1941,"HUNTINGTON,N 42 to LEIGHTON",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,YES,NO,NO,NO,NO,56
B3-010969,2013/04/29 00:00:00+00,2045,"BENTON,ERVIN to N 56",INJURY,OTHER,1,1,NO,YES,NO,NO,NO,NO,NO,57
B3-076941,2013/08/19 00:00:00+00,1150,5300 W KNIGHT at -,INJURY,,1,1,NO,NO,YES,NO,NO,NO,NO,58
B3-103028,2013/09/15 00:00:00+00,145,"P,N 11 to N 12",INJURY,REAR END,1,1,NO,YES,NO,NO,NO,NO,NO,59
B3-036697,2013/04/27 00:00:00+00,1820,"S 87,NEBR HWY to DEAD END",NON-INJ,TURNING,2,0,NO,NO,YES,NO,NO,NO,NO,60
B3-104491,2013/09/17 00:00:00+00,1743,S 2 at D,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,YES,NO,61
B3-011270,2013/05/01 00:00:00+00,730,"PINE LAKE,S 38 to S 40",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,YES,NO,62
B3-077637,2013/08/22 00:00:00+00,810,7500 S 91 at NE HEART INST,NON-INJ H&R,,2,0,NO,NO,YES,NO,NO,YES,NO,63
B3-000253,2013/01/17 00:00:00+00,905,"N,S 10 to S 9",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,64
B3-037044,2013/04/28 00:00:00+00,1728,"N 48,BALDWIN to HUNTINGTON",INJURY,SIDE SWIPE,2,1,NO,NO,YES,NO,NO,NO,NO,65
B3-000277,2013/01/16 00:00:00+00,1250,5801 N 33 at -,INJURY,,1,1,YES,NO,NO,NO,NO,NO,NO,66
B3-013379,2013/05/04 00:00:00+00,1230,3300 N 27 at -,INJURY H&R,,1,1,NO,YES,NO,NO,NO,YES,NO,67
B3-105059,2013/09/19 00:00:00+00,725,S 27 at OLD CHENEY,NON-INJ,RIGHT ANGLE,1,0,NO,YES,NO,NO,NO,NO,NO,68
B3-077803,2013/08/22 00:00:00+00,1625,"CORNHUSKER,N 20 to N 23",INJURY,REAR END,2,1,NO,NO,YES,NO,NO,NO,NO,69
B3-037352,2013/04/29 00:00:00+00,1402,"VINE,N 42 to N 44",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,70
B3-000345,2013/01/17 00:00:00+00,1757,S 40 at OLD CHENEY,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,71
B3-014808,2013/05/06 00:00:00+00,1550,"R,N 8 to N 9",INJURY,HEAD ON,2,1,NO,YES,NO,NO,NO,NO,NO,72
B3-105504,2013/09/21 00:00:00+00,1115,N 33 at HOLDREGE,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,73
B3-079147,2013/08/26 00:00:00+00,1413,N 13 at Q,INJURY,TURNING,2,1,NO,NO,YES,NO,NO,NO,NO,74
B3-000350,2013/01/20 00:00:00+00,1136,"N 11,BELMONT to CORNHUSKER",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,75
B3-016086,2013/05/07 00:00:00+00,1117,"Y,N 26 to N 27",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,YES,NO,76
B3-037424,2013/04/29 00:00:00+00,1621,N 11 at ADAMS,NON-INJ,RIGHT ANGLE,2,0,NO,NO,YES,NO,NO,NO,NO,77
B3-106887,2013/09/21 00:00:00+00,9999,"SW 9,W A to W WASHINGTON",INJURY H&R,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,78
B3-000352,2013/01/25 00:00:00+00,1245,S 9 at K,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,79
B3-079290,2013/08/26 00:00:00+00,1625,"W BOND,NW 12 to W COMMERCE",INJURY,DRIVEWAY,2,1,NO,NO,YES,NO,NO,NO,NO,80
B3-016377,2013/05/08 00:00:00+00,1707,"OLD CHENEY,S 40 to VILLAGE BLVD",INJURY,DRIVEWAY,2,1,NO,YES,NO,NO,NO,NO,NO,81
B3-080031,2013/08/28 00:00:00+00,9999,4320 N 7 at -,NON-INJ H&R,,2,0,NO,NO,YES,NO,NO,NO,NO,82
B3-000354,2013/01/25 00:00:00+00,1515,S 27 at E,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,83
B3-016789,2013/05/09 00:00:00+00,1520,"O,46 to 48",INJURY H&R,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,84
B3-107182,2013/09/24 00:00:00+00,1655,"N 17,P to Q",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,85
B3-039560,2013/05/04 00:00:00+00,1709,S 79 at EAST POINTE,INJURY,TURNING,2,1,NO,NO,YES,NO,NO,NO,NO,86
B3-000356,2013/01/25 00:00:00+00,750,606 W A at LOT,INJURY H&R,,1,1,YES,NO,NO,NO,NO,NO,NO,87
B3-080307,2013/08/29 00:00:00+00,1530,"HOLDREGE,N 55 to N 56",NON-INJ,REAR END,2,0,NO,NO,YES,NO,NO,NO,NO,88
B3-018038,2013/05/10 00:00:00+00,1514,"SUPERIOR,BEL RIDGE to N 14",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,89
B3-107972,2013/09/27 00:00:00+00,1618,S 56 at CALVERT,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,90
B3-000360,2013/01/27 00:00:00+00,2223,2040 S 22 at SOUTHVIEW CHURCH,INJURY,,1,1,YES,NO,NO,NO,NO,NO,NO,91
B3-018426,2013/05/10 00:00:00+00,1719,"A,S 77 to SYCAMORE",INJURY,RIGHT ANGLE,1,2,NO,YES,NO,NO,NO,NO,NO,92
B3-042227,2013/05/13 00:00:00+00,1559,"PINE LAKE,S 56 to S 59 CR",INJURY,REAR END,2,2,NO,NO,YES,NO,NO,NO,NO,93
B3-080371,2013/08/29 00:00:00+00,1713,"S 14,MOCKINGBIRD N to PINE LAKE",INJURY,REAR END,2,1,NO,NO,YES,NO,NO,YES,NO,94
B3-000363,2013/01/27 00:00:00+00,2226,"S 22,HARWOOD to SOUTH",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,95
B3-021156,2013/05/10 00:00:00+00,1930,N 31 at VINE,INJURY,UNKNOWN,1,1,NO,YES,NO,NO,NO,NO,NO,96
B3-108015,2013/10/01 00:00:00+00,1714,"SOUTH,S 17 to S 18",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,97
B3-044905,2013/05/19 00:00:00+00,1400,HOMESTEAD at W O,INJURY,OTHER,1,2,NO,NO,YES,NO,NO,NO,NO,98
B3-080961,2013/08/31 00:00:00+00,115,N 20 at CORNHUSKER,INJURY,RAN OFF ROAD,1,1,NO,NO,YES,NO,NO,NO,NO,99
B3-000364,2013/02/05 00:00:00+00,654,"VINE,N 66 to N 68",FATAL,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,100
B3-108757,2013/10/01 00:00:00+00,2137,"VINE,N 48 to N 49",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,101
B3-000377,2013/02/05 00:00:00+00,1100,S 14 at K,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,YES,102
B3-081861,2013/09/02 00:00:00+00,2010,"S 56,EDGEWOOD to SHADY CREEK",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,103
B3-022834,2013/05/12 00:00:00+00,1303,S 14 at OTOE,INJURY,RIGHT ANGLE,2,1,NO,YES,NO,NO,NO,NO,NO,104
B3-045241,2013/05/21 00:00:00+00,736,"ADAMS,DOROTHY to N 74",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,105
B3-109274,2013/10/03 00:00:00+00,754,"SW 21,W PLUM to W SOUTH",INJURY H&R,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,106
B3-000399,2013/02/07 00:00:00+00,700,"KNOX,N 63 to N 64",INJURY H&R,OTHER,2,1,YES,NO,NO,NO,NO,NO,NO,107
B3-046471,2013/05/24 00:00:00+00,2120,18 at O,NON-INJ,TURNING,2,0,NO,NO,YES,NO,NO,NO,NO,108
B3-083081,2013/09/05 00:00:00+00,1900,222 SW 31 at -,INJURY,,1,1,NO,NO,YES,NO,NO,NO,NO,109
B3-024571,2013/05/12 00:00:00+00,1824,"LEIGHTON,N 83 to N 84",INJURY,TURNING,2,1,NO,YES,NO,NO,NO,NO,NO,110
B3-000400,2013/02/08 00:00:00+00,745,"WILDBRIAR,S 37 to S 38",INJURY H&R,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,111
B3-083143,2013/09/06 00:00:00+00,1420,CORNHUSKER at ADAMS,NON-INJ,OTHER,1,0,NO,NO,YES,NO,NO,NO,NO,112
B3-110671,2013/10/03 00:00:00+00,1255,"N 29,O to P",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,113
B3-046858,2013/05/26 00:00:00+00,240,N 48 at CORNHUSKER,INJURY,OTHER,1,2,NO,NO,YES,NO,NO,NO,NO,114
B3-000410,2013/02/15 00:00:00+00,1430,"6100 O ST,GATEWAY MALL to",INJURY,,1,1,YES,NO,NO,NO,NO,NO,NO,115
B3-112023,2013/10/14 00:00:00+00,2146,"N 48,WILSHIRE to Y",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,116
B3-024700,2013/05/13 00:00:00+00,745,2317 N 63 at -,INJURY,,2,1,NO,YES,NO,NO,NO,NO,NO,117
B3-083444,2013/09/07 00:00:00+00,1105,"S 48,CLAIRE to LASALLE",INJURY,REAR END,2,1,NO,NO,YES,NO,NO,YES,NO,118
B3-000422,2013/02/20 00:00:00+00,1510,"N 14,VINE to W",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,119
B3-049971,2013/06/08 00:00:00+00,1819,2140 K at PARKING LOT,INJURY,,1,1,NO,YES,NO,NO,NO,YES,NO,120
B3-025327,2013/05/14 00:00:00+00,1310,"S 48,A to C",NON-INJ,TURNING,1,0,NO,YES,NO,NO,NO,YES,NO,121
B3-048018,2013/05/28 00:00:00+00,1934,"N ANTELOPE VALL,VINE to S",INJURY,RAN OFF ROAD,1,1,NO,NO,YES,NO,NO,NO,NO,122
B3-112542,2013/10/16 00:00:00+00,1922,VINE at N ANTELOPE VALL,INJURY,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,123
B3-000463,2013/02/24 00:00:00+00,1845,"F,S 12 to S 13",INJURY H&R,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,124
B3-052744,2013/06/10 00:00:00+00,1620,"N 27,CENTER to FAIR",INJURY,OTHER,1,1,NO,YES,NO,NO,NO,YES,NO,125
B3-083563,2013/09/07 00:00:00+00,1602,HUSKER CR at WILDCAT DR,INJURY,RAN OFF ROAD,1,1,NO,NO,YES,NO,NO,NO,NO,126
B3-025726,2013/05/14 00:00:00+00,1730,"HOLDREGE,N 63 to N 64",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,127
B3-000464,2013/02/26 00:00:00+00,734,N ANTELOPE VALL at N 17,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,128
B3-056662,2013/06/11 00:00:00+00,1745,"S 8,D to E",NON-INJ H&R,PARKED,1,0,NO,YES,NO,NO,NO,NO,NO,129
B3-048454,2013/05/24 00:00:00+00,1526,"ADAMS,N 44 to N 45",INJURY,DRIVEWAY,2,1,NO,NO,YES,NO,NO,YES,NO,130
B3-113734,2013/10/22 00:00:00+00,9999,"O,26 to 27",NON-INJ H&R,RIGHT ANGLE,1,0,NO,YES,NO,NO,NO,NO,NO,131
B3-000483,2013/02/26 00:00:00+00,9999,S COTNER at A,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,132
B3-061441,2013/06/11 00:00:00+00,2325,S 37 at VAN DORN,INJURY H&R,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,133
B3-086178,2013/09/13 00:00:00+00,2020,"O,31 to 32",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,134
B3-026064,2013/05/15 00:00:00+00,1745,"S COTNER,FRANKLIN to SOUTH",INJURY H&R,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,135
B3-000489,2013/03/04 00:00:00+00,744,345 W O at -,INJURY,,1,1,YES,NO,NO,NO,NO,NO,NO,136
B3-062642,2013/06/15 00:00:00+00,1535,S 19 & S 20 at GARFIELD & WASHI,INJURY,RIGHT ANGLE,2,1,NO,YES,NO,NO,NO,NO,NO,137
B3-000491,2013/03/05 00:00:00+00,1300,2410 NW 12 at -,INJURY,,1,1,YES,NO,NO,NO,NO,NO,NO,138
B3-063522,2013/06/15 00:00:00+00,2027,N 12 at MANATT,INJURY,RIGHT ANGLE,2,1,NO,YES,NO,NO,NO,NO,NO,139
B3-086246,2013/09/14 00:00:00+00,335,"EVERETT,S 38 to S 40",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,140
B3-027905,2013/05/16 00:00:00+00,1155,"OLD CHENEY,NEBR HWY to S 58",INJURY H&R,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,141
B3-049170,2013/05/31 00:00:00+00,2220,"O,44 to 45",INJURY,SIDE SWIPE,2,1,NO,NO,YES,NO,NO,NO,NO,142
B3-114193,2013/10/23 00:00:00+00,1305,"N 21,O to P",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,YES,NO,143
B3-000496,2013/03/14 00:00:00+00,1715,"MYRTLE,S 55 to S 56 DR",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,144
B3-063575,2013/06/17 00:00:00+00,900,OLD CHENEY at S 40,INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,145
B3-086478,2013/09/14 00:00:00+00,1646,"N 29,CORNHUSKER to NODDLE",INJURY,,1,1,NO,NO,YES,NO,NO,NO,NO,146
B3-028658,2013/05/17 00:00:00+00,837,"W A,SW 30 to SW 27",INJURY H&R,SIDE SWIPE,2,1,NO,YES,NO,NO,NO,YES,NO,147
B3-000502,2013/03/20 00:00:00+00,740,"S 35,N to O",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,148
B3-063620,2013/06/17 00:00:00+00,910,S 34 at SOUTH,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,149
B3-049177,2013/05/31 00:00:00+00,2322,"NORMAL,FRANKLIN to SUMNER",INJURY H&R,REAR END,2,1,NO,NO,YES,NO,NO,YES,NO,150
B3-114447,2013/10/25 00:00:00+00,800,"FOLKWAYS,N 27 to N 33",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,151
B3-000508,2013/03/26 00:00:00+00,920,11 at O,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,152
B3-064301,2013/06/17 00:00:00+00,1550,"N 48,ORCHARD to Y",INJURY,DRIVEWAY,1,1,NO,YES,NO,NO,NO,NO,NO,153
B3-091023,2013/09/27 00:00:00+00,1800,"S 40,L to LENOX",INJURY,OTHER,1,1,NO,NO,YES,NO,NO,NO,NO,154
B3-031210,2013/05/17 00:00:00+00,1130,"N 14,Q to R",NON-INJ,TURNING,1,0,NO,YES,NO,NO,NO,NO,NO,155
B3-064824,2013/06/19 00:00:00+00,1545,N 70 at HUNTINGTON,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,156
B3-000509,2013/03/26 00:00:00+00,1550,"S 84,N HAZELWOOD to SANDALWOOD",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,157
B3-049803,2013/06/03 00:00:00+00,1500,"7600 N 70,ABBOTT SPORTS to COMPLEX",INJURY,,1,1,NO,NO,YES,NO,NO,NO,NO,158
B3-114560,2013/10/29 00:00:00+00,713,S 10 at A,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,YES,NO,159
B3-000515,2013/03/28 00:00:00+00,1549,"N 33,W to X",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,160
B3-065973,2013/06/26 00:00:00+00,515,NW 50 at W KNIGHT,INJURY,RIGHT ANGLE,2,1,NO,YES,NO,NO,NO,NO,NO,161
B3-091760,2013/09/29 00:00:00+00,1813,N 42 at VINE,NON-INJ,REAR END,2,0,NO,NO,YES,NO,NO,NO,NO,162
B3-032111,2013/05/17 00:00:00+00,1750,S 33 at A,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,YES,NO,163
B3-000545,2013/03/29 00:00:00+00,1624,"N 33,U to VINE",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,164
B3-066006,2013/07/01 00:00:00+00,830,"N 9,P to Q",INJURY,TURNING,1,1,NO,YES,NO,NO,NO,NO,NO,165
B3-000552,2013/03/30 00:00:00+00,1615,"WOODS AVE,S 33 to S 35",INJURY,DRIVEWAY,3,2,YES,NO,NO,NO,NO,YES,NO,166
B3-066114,2013/07/02 00:00:00+00,1610,"N 9 & N 10,CHARLESTON to NEW HAMPSHIRE",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,167
B3-092312,2013/10/01 00:00:00+00,2025,"S 10,H to LINCOLN MALL",INJURY,REAR END,2,1,NO,NO,YES,NO,NO,NO,NO,168
B3-032283,2013/05/20 00:00:00+00,122,"P,N 26 to N 27",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,169
B3-050682,2013/06/06 00:00:00+00,1351,S 13 at C,NON-INJ,RIGHT ANGLE,2,0,NO,NO,YES,NO,NO,NO,NO,170
B3-115790,2013/10/28 00:00:00+00,1730,N 9 at HARTLEY,INJURY H&R,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,171
B3-001849,2013/11/03 00:00:00+00,2105,UNKNOWN at -,INJURY H&R,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,172
B3-000577,2013/04/05 00:00:00+00,1730,512 S 7 at PARKING LOT,INJURY,,1,1,YES,NO,NO,NO,NO,YES,NO,173
B3-066885,2013/07/03 00:00:00+00,1200,"S 14,M to N",INJURY,DRIVEWAY,2,1,NO,YES,NO,NO,NO,NO,NO,174
B3-092637,2013/10/02 00:00:00+00,1938,"RANDOLPH,S 27 to S 28",INJURY,SIDE SWIPE,2,1,NO,NO,YES,NO,NO,NO,NO,175
B3-033796,2013/05/21 00:00:00+00,940,"RANDOLPH,S 29 to S 30",NON-INJ,RIGHT ANGLE,1,0,NO,YES,NO,NO,NO,NO,NO,176
B3-050906,2013/06/06 00:00:00+00,1706,"S 84,WENDELL WAY to OLD CHENEY",NON-INJ,REAR END,2,0,NO,NO,YES,NO,NO,NO,NO,177
B3-000581,2013/04/07 00:00:00+00,1702,"N 27,DUDLEY to ORCHARD",INJURY H&R,OTHER,3,1,YES,NO,NO,NO,NO,NO,NO,178
